Conference_ID,Conference_Type,Conference_Title,Conference_Country,Conference_City,Year,Conference_Theme,Person,Organization,Organization_Country,Organization_Region
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Kresimir Planinic,In the Name of the Family,Croatia,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Péter Gáncs,Independent Expert,Hungary,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Szymon Grzelak,Instytut Profilaktyki Zintegrowanej,Poland,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Eleonóra F. Szanyi,Kutatópont Ltd.,Hungary,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Anna Zaborska,Member of Parliament - E.U.,Slovakia,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Zoltán Balog,Minister for Human Resources,Hungary,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Miklós Soltész,"Minister of State for Churches, Minorities and Civil Affairs",Hungary,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",László Palkovics,Minister of State for Education,Hungary,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Katalin Novák,"Minister of State for Family, Youth and International Affair",Hungary,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Katalin Novák,"Minister of State for Family, Youth and International Affair",Hungary,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Péter Farkas,Ministry of Human Capacities,Hungary,Post-Soviet
